http://stackoverflow.com/questions/393954/how-to-convert-an-opencv-iplimage-to-an-sdl-surface,How to convert an OpenCV IplImage to an SDL_Surface?,7280,sgielen,sgielen,1230309352,1315945544,1230411782
http://stackoverflow.com/a/10001884/1136593,How to flip image horizontaly and vertically with php,8307,Pedro Soares,,1333488777,1418855288,0
http://stackoverflow.com/a/1001328/266378,Detecting endianness programmatically in a C++ program,98372,Jay T,Yu Hao,1245157013,1558115812,1411894346
http://stackoverflow.com/a/100165/148668,How to test if a line segment intersects an axis-aligned rectange in 2D?,36149,metamal,,1221795575,1375644016,0
http://stackoverflow.com/a/10034633/1084488,How do you compare two version Strings in Java?,88307,Bill the Lizard,Andrew,1223920481,1552478056,1223932619
http://stackoverflow.com/a/10034633/84349,How do you compare two version Strings in Java?,88307,Bill the Lizard,Andrew,1223920481,1552478056,1223932619
http://stackoverflow.com/a/10037579/1789808,Error in using readImage function (Imagick),1742,Abhinav,,1332756273,1487066520,0
http://stackoverflow.com/a/10050258/148668,C++ char array null terminator location,31543,John Mahoney,,1333753578,1369856921,0
http://stackoverflow.com/a/1006301/715090,How to find out the number of CPUs using python,213155,phihag,kmario23,1245235304,1559937661,1416641804
http://stackoverflow.com/a/10069679/3697225,When to clear the cache dir in Android?,66600,Jimmy,Community,1333109011,1376408742,1495539204
http://stackoverflow.com/a/10073788/1048589,Pad a number with leading zeros in JavaScript,420659,Nate Pet,Community,1333976981,1548444744,1495535495
http://stackoverflow.com/a/10078809/654755,Django templates: accessing the previous and the following element of the list,4037,newtover,newtover,1333999967,1410773537,1334000333
http://stackoverflow.com/a/10088053/483704,Convert date to another timezone in JavaScript,424106,Rizky Ramadhan,AstroCB,1334057105,1557519660,1428675139
http://stackoverflow.com/a/10096779/50335,NSFileSystemFreeSize: translating result into user friendly display of mb/gb?,778,No Grabbing,,1334072228,1543483716,0
http://stackoverflow.com/a/10114636/69897,A method for indexing triangles from a loaded heightmap?,2356,DubyaDubyaDubyaDot,Nicol Bolas,1334181577,1416871971,1334182339
http://stackoverflow.com/a/1012089/64911,Python - Previous and next values inside a loop,127005,dir01,,1245320618,1557330968,0
http://stackoverflow.com/a/10150393/1694896,std::string formatting like sprintf,713676,Max Frai,thecoshman,1267193754,1555622160,1431193559
http://stackoverflow.com/a/1015405/209039,Python: Bind an Unbound Method?,42207,Dan Passaro,Dan Passaro,1245360798,1553835830,1245362661
http://stackoverflow.com/a/101613/4184258,"The most efficient way to implement an integer based power function pow(int, int)",185230,Doug T.,durron597,1221827430,1553772266,1422629004
